itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
UAEREG-03998,construction,Authority Approvals - MOEI,MOEI - Major Project Transport - Inspection Request,"Prepare, coordinate, submit, track and close out the inspection request process for major project transport requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04009,construction,Authority Approvals - MOEI,MOEI - Major Project Utility Coordination - Document Preparation,"Prepare, coordinate, submit, track and close out the document preparation process for major project utility coordination requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04010,construction,Authority Approvals - MOEI,MOEI - Major Project Utility Coordination - Final Approval,"Prepare, coordinate, submit, track and close out the final approval process for major project utility coordination requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04011,construction,Authority Approvals - MOEI,MOEI - Major Project Utility Coordination - Initial Submission,"Prepare, coordinate, submit, track and close out the initial submission process for major project utility coordination requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04012,construction,Authority Approvals - MOEI,MOEI - Major Project Utility Coordination - Inspection Request,"Prepare, coordinate, submit, track and close out the inspection request process for major project utility coordination requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04013,construction,Authority Approvals - MOEI,MOEI - Major Project Utility Coordination - NOC Application,"Prepare, coordinate, submit, track and close out the noc application process for major project utility coordination requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04014,construction,Authority Approvals - MOEI,MOEI - Major Project Utility Coordination - Permit Application,"Prepare, coordinate, submit, track and close out the permit application process for major project utility coordination requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04015,construction,Authority Approvals - MOEI,MOEI - Major Project Utility Coordination - Pre-Application Consultation,"Prepare, coordinate, submit, track and close out the pre-application consultation process for major project utility coordination requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04016,construction,Authority Approvals - MOEI,MOEI - Major Project Utility Coordination - Renewal or Extension,"Prepare, coordinate, submit, track and close out the renewal or extension process for major project utility coordination requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04017,construction,Authority Approvals - MOEI,MOEI - Major Project Utility Coordination - Resubmission,"Prepare, coordinate, submit, track and close out the resubmission process for major project utility coordination requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04018,construction,Authority Approvals - MOEI,MOEI - Major Project Utility Coordination - Technical Review,"Prepare, coordinate, submit, track and close out the technical review process for major project utility coordination requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04019,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Authority Witness Test,"Prepare, coordinate, submit, track and close out the authority witness test process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04020,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Closeout Submission,"Prepare, coordinate, submit, track and close out the closeout submission process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04021,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Comment Response,"Prepare, coordinate, submit, track and close out the comment response process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04022,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Completion Certificate,"Prepare, coordinate, submit, track and close out the completion certificate process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04023,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Document Preparation,"Prepare, coordinate, submit, track and close out the document preparation process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04024,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Final Approval,"Prepare, coordinate, submit, track and close out the final approval process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04025,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Initial Submission,"Prepare, coordinate, submit, track and close out the initial submission process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04026,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Inspection Request,"Prepare, coordinate, submit, track and close out the inspection request process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04027,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - NOC Application,"Prepare, coordinate, submit, track and close out the noc application process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04028,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Permit Application,"Prepare, coordinate, submit, track and close out the permit application process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04029,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Pre-Application Consultation,"Prepare, coordinate, submit, track and close out the pre-application consultation process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04030,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Renewal or Extension,"Prepare, coordinate, submit, track and close out the renewal or extension process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04031,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Resubmission,"Prepare, coordinate, submit, track and close out the resubmission process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04032,construction,Authority Approvals - MOEI,MOEI - Project-Specific Energy - Technical Review,"Prepare, coordinate, submit, track and close out the technical review process for project-specific energy requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04033,construction,Authority Approvals - MOEI,MOEI - Project-Specific Federal Infrastructure - Authority Witness Test,"Prepare, coordinate, submit, track and close out the authority witness test process for project-specific federal infrastructure requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04034,construction,Authority Approvals - MOEI,MOEI - Project-Specific Federal Infrastructure - Closeout Submission,"Prepare, coordinate, submit, track and close out the closeout submission process for project-specific federal infrastructure requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04035,construction,Authority Approvals - MOEI,MOEI - Project-Specific Federal Infrastructure - Comment Response,"Prepare, coordinate, submit, track and close out the comment response process for project-specific federal infrastructure requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-04036,construction,Authority Approvals - MOEI,MOEI - Project-Specific Federal Infrastructure - Completion Certificate,"Prepare, coordinate, submit, track and close out the completion certificate process for project-specific federal infrastructure requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
