itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
BIMDD-00001,construction,BIM Models,Authoring - Architectural Model - LOD 100 - RVT,"Prepare, coordinate and submit LOD 100 architectural BIM model for authoring in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00012,construction,BIM Models,Update - Architectural Model - LOD 100 - NWD,"Prepare, coordinate and submit LOD 100 architectural BIM model for update in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00013,construction,BIM Models,Update - Architectural Model - LOD 100 - DWG,"Prepare, coordinate and submit LOD 100 architectural BIM model for update in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00014,construction,BIM Models,Update - Architectural Model - LOD 100 - BCF,"Prepare, coordinate and submit LOD 100 architectural BIM model for update in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00015,construction,BIM Models,Update - Architectural Model - LOD 100 - COBie,"Prepare, coordinate and submit LOD 100 architectural BIM model for update in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00016,construction,BIM Models,Update - Architectural Model - LOD 100 - PDF,"Prepare, coordinate and submit LOD 100 architectural BIM model for update in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00017,construction,BIM Models,Coordination - Architectural Model - LOD 100 - RVT,"Prepare, coordinate and submit LOD 100 architectural BIM model for coordination in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00018,construction,BIM Models,Coordination - Architectural Model - LOD 100 - IFC,"Prepare, coordinate and submit LOD 100 architectural BIM model for coordination in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00019,construction,BIM Models,Coordination - Architectural Model - LOD 100 - NWC,"Prepare, coordinate and submit LOD 100 architectural BIM model for coordination in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00020,construction,BIM Models,Coordination - Architectural Model - LOD 100 - NWD,"Prepare, coordinate and submit LOD 100 architectural BIM model for coordination in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00021,construction,BIM Models,Coordination - Architectural Model - LOD 100 - DWG,"Prepare, coordinate and submit LOD 100 architectural BIM model for coordination in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00022,construction,BIM Models,Coordination - Architectural Model - LOD 100 - BCF,"Prepare, coordinate and submit LOD 100 architectural BIM model for coordination in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00023,construction,BIM Models,Coordination - Architectural Model - LOD 100 - COBie,"Prepare, coordinate and submit LOD 100 architectural BIM model for coordination in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00024,construction,BIM Models,Coordination - Architectural Model - LOD 100 - PDF,"Prepare, coordinate and submit LOD 100 architectural BIM model for coordination in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00025,construction,BIM Models,Review - Architectural Model - LOD 100 - RVT,"Prepare, coordinate and submit LOD 100 architectural BIM model for review in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00026,construction,BIM Models,Review - Architectural Model - LOD 100 - IFC,"Prepare, coordinate and submit LOD 100 architectural BIM model for review in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00027,construction,BIM Models,Review - Architectural Model - LOD 100 - NWC,"Prepare, coordinate and submit LOD 100 architectural BIM model for review in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00028,construction,BIM Models,Review - Architectural Model - LOD 100 - NWD,"Prepare, coordinate and submit LOD 100 architectural BIM model for review in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00029,construction,BIM Models,Review - Architectural Model - LOD 100 - DWG,"Prepare, coordinate and submit LOD 100 architectural BIM model for review in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00030,construction,BIM Models,Review - Architectural Model - LOD 100 - BCF,"Prepare, coordinate and submit LOD 100 architectural BIM model for review in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00031,construction,BIM Models,Review - Architectural Model - LOD 100 - COBie,"Prepare, coordinate and submit LOD 100 architectural BIM model for review in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00032,construction,BIM Models,Review - Architectural Model - LOD 100 - PDF,"Prepare, coordinate and submit LOD 100 architectural BIM model for review in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00033,construction,BIM Models,Validation - Architectural Model - LOD 100 - RVT,"Prepare, coordinate and submit LOD 100 architectural BIM model for validation in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00034,construction,BIM Models,Validation - Architectural Model - LOD 100 - IFC,"Prepare, coordinate and submit LOD 100 architectural BIM model for validation in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00035,construction,BIM Models,Validation - Architectural Model - LOD 100 - NWC,"Prepare, coordinate and submit LOD 100 architectural BIM model for validation in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00036,construction,BIM Models,Validation - Architectural Model - LOD 100 - NWD,"Prepare, coordinate and submit LOD 100 architectural BIM model for validation in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00037,construction,BIM Models,Validation - Architectural Model - LOD 100 - DWG,"Prepare, coordinate and submit LOD 100 architectural BIM model for validation in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00038,construction,BIM Models,Validation - Architectural Model - LOD 100 - BCF,"Prepare, coordinate and submit LOD 100 architectural BIM model for validation in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00039,construction,BIM Models,Validation - Architectural Model - LOD 100 - COBie,"Prepare, coordinate and submit LOD 100 architectural BIM model for validation in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00040,construction,BIM Models,Validation - Architectural Model - LOD 100 - PDF,"Prepare, coordinate and submit LOD 100 architectural BIM model for validation in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00041,construction,BIM Models,Approval - Architectural Model - LOD 100 - RVT,"Prepare, coordinate and submit LOD 100 architectural BIM model for approval in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00042,construction,BIM Models,Approval - Architectural Model - LOD 100 - IFC,"Prepare, coordinate and submit LOD 100 architectural BIM model for approval in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00043,construction,BIM Models,Approval - Architectural Model - LOD 100 - NWC,"Prepare, coordinate and submit LOD 100 architectural BIM model for approval in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00044,construction,BIM Models,Approval - Architectural Model - LOD 100 - NWD,"Prepare, coordinate and submit LOD 100 architectural BIM model for approval in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00045,construction,BIM Models,Approval - Architectural Model - LOD 100 - DWG,"Prepare, coordinate and submit LOD 100 architectural BIM model for approval in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00046,construction,BIM Models,Approval - Architectural Model - LOD 100 - BCF,"Prepare, coordinate and submit LOD 100 architectural BIM model for approval in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00047,construction,BIM Models,Approval - Architectural Model - LOD 100 - COBie,"Prepare, coordinate and submit LOD 100 architectural BIM model for approval in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00048,construction,BIM Models,Approval - Architectural Model - LOD 100 - PDF,"Prepare, coordinate and submit LOD 100 architectural BIM model for approval in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00049,construction,BIM Models,Final Submission - Architectural Model - LOD 100 - RVT,"Prepare, coordinate and submit LOD 100 architectural BIM model for final submission in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00050,construction,BIM Models,Final Submission - Architectural Model - LOD 100 - IFC,"Prepare, coordinate and submit LOD 100 architectural BIM model for final submission in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00051,construction,BIM Models,Final Submission - Architectural Model - LOD 100 - NWC,"Prepare, coordinate and submit LOD 100 architectural BIM model for final submission in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00052,construction,BIM Models,Final Submission - Architectural Model - LOD 100 - NWD,"Prepare, coordinate and submit LOD 100 architectural BIM model for final submission in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00053,construction,BIM Models,Final Submission - Architectural Model - LOD 100 - DWG,"Prepare, coordinate and submit LOD 100 architectural BIM model for final submission in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00054,construction,BIM Models,Final Submission - Architectural Model - LOD 100 - BCF,"Prepare, coordinate and submit LOD 100 architectural BIM model for final submission in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00055,construction,BIM Models,Final Submission - Architectural Model - LOD 100 - COBie,"Prepare, coordinate and submit LOD 100 architectural BIM model for final submission in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-00056,construction,BIM Models,Final Submission - Architectural Model - LOD 100 - PDF,"Prepare, coordinate and submit LOD 100 architectural BIM model for final submission in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
