itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00318,plumbing,Instrumentation and Controls,Drainage/Sewage - BMS Interface Module,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission bms interface module for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00358,plumbing,Instrumentation and Controls,Hot Water - Level Gauge,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission level gauge for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00359,plumbing,Instrumentation and Controls,Hot Water - Level Switch,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission level switch for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00360,plumbing,Instrumentation and Controls,Hot Water - Pressure Gauge,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission pressure gauge for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00361,plumbing,Instrumentation and Controls,Hot Water - Pressure Switch,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission pressure switch for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00362,plumbing,Instrumentation and Controls,Hot Water - Pulse Output Module,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission pulse output module for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00363,plumbing,Instrumentation and Controls,Hot Water - Pump Control Panel,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission pump control panel for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00364,plumbing,Instrumentation and Controls,Hot Water - Remote Metering Module,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission remote metering module for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00365,plumbing,Instrumentation and Controls,Hot Water - Residual Chlorine Sensor,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission residual chlorine sensor for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00366,plumbing,Instrumentation and Controls,Hot Water - Sight Glass,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission sight glass for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00367,plumbing,Instrumentation and Controls,Hot Water - Tank Level Control Panel,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission tank level control panel for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00368,plumbing,Instrumentation and Controls,Hot Water - Temperature Gauge,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission temperature gauge for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00369,plumbing,Instrumentation and Controls,Hot Water - Temperature Sensor,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission temperature sensor for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00370,plumbing,Instrumentation and Controls,Hot Water - Thermometer,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission thermometer for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
