itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00463,plumbing,Medical and Laboratory Systems,AGSS Plant - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted agss plant, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00474,plumbing,Medical and Laboratory Systems,Cylinder Manifold - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted cylinder manifold, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00475,plumbing,Medical and Laboratory Systems,Gas Manifold - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted gas manifold, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00476,plumbing,Medical and Laboratory Systems,Gas Manifold - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted gas manifold, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00477,plumbing,Medical and Laboratory Systems,Gas Manifold - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted gas manifold, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00478,plumbing,Medical and Laboratory Systems,Laboratory Gas Outlet - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted laboratory gas outlet, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00479,plumbing,Medical and Laboratory Systems,Laboratory Gas Outlet - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted laboratory gas outlet, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00480,plumbing,Medical and Laboratory Systems,Laboratory Gas Outlet - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted laboratory gas outlet, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00481,plumbing,Medical and Laboratory Systems,Laboratory Vacuum Outlet - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted laboratory vacuum outlet, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00482,plumbing,Medical and Laboratory Systems,Laboratory Vacuum Outlet - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted laboratory vacuum outlet, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00483,plumbing,Medical and Laboratory Systems,Laboratory Vacuum Outlet - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted laboratory vacuum outlet, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00484,plumbing,Medical and Laboratory Systems,Medical Air Plant - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted medical air plant, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00485,plumbing,Medical and Laboratory Systems,Medical Air Plant - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted medical air plant, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00486,plumbing,Medical and Laboratory Systems,Medical Air Plant - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted medical air plant, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00487,plumbing,Medical and Laboratory Systems,Medical Air Terminal Unit - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted medical air terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00488,plumbing,Medical and Laboratory Systems,Medical Air Terminal Unit - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted medical air terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00489,plumbing,Medical and Laboratory Systems,Medical Air Terminal Unit - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted medical air terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00490,plumbing,Medical and Laboratory Systems,Medical Gas Area Alarm - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted medical gas area alarm, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00491,plumbing,Medical and Laboratory Systems,Medical Gas Area Alarm - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted medical gas area alarm, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00492,plumbing,Medical and Laboratory Systems,Medical Gas Area Alarm - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted medical gas area alarm, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00493,plumbing,Medical and Laboratory Systems,Medical Gas Master Alarm - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted medical gas master alarm, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00494,plumbing,Medical and Laboratory Systems,Medical Gas Master Alarm - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted medical gas master alarm, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00495,plumbing,Medical and Laboratory Systems,Medical Gas Master Alarm - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted medical gas master alarm, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00496,plumbing,Medical and Laboratory Systems,Medical Gas Zone Valve Box - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted medical gas zone valve box, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00497,plumbing,Medical and Laboratory Systems,Medical Gas Zone Valve Box - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted medical gas zone valve box, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00498,plumbing,Medical and Laboratory Systems,Medical Gas Zone Valve Box - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted medical gas zone valve box, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00499,plumbing,Medical and Laboratory Systems,Medical Vacuum Plant - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted medical vacuum plant, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00500,plumbing,Medical and Laboratory Systems,Medical Vacuum Plant - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted medical vacuum plant, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00501,plumbing,Medical and Laboratory Systems,Medical Vacuum Plant - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted medical vacuum plant, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00502,plumbing,Medical and Laboratory Systems,Medical Vacuum Terminal Unit - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted medical vacuum terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00503,plumbing,Medical and Laboratory Systems,Medical Vacuum Terminal Unit - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted medical vacuum terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00504,plumbing,Medical and Laboratory Systems,Medical Vacuum Terminal Unit - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted medical vacuum terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00505,plumbing,Medical and Laboratory Systems,Nitrous Oxide Terminal Unit - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted nitrous oxide terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00506,plumbing,Medical and Laboratory Systems,Nitrous Oxide Terminal Unit - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted nitrous oxide terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00507,plumbing,Medical and Laboratory Systems,Nitrous Oxide Terminal Unit - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted nitrous oxide terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00508,plumbing,Medical and Laboratory Systems,Oxygen Terminal Unit - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted oxygen terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00509,plumbing,Medical and Laboratory Systems,Oxygen Terminal Unit - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted oxygen terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
