itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-06514,plumbing,Piping Systems,Non-Potable Water - PPR - Pipe Sleeve - 250-400 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR pipe sleeve for non-potable water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06525,plumbing,Piping Systems,Non-Potable Water - PPR - Reducing Tee - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR reducing tee for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06526,plumbing,Piping Systems,Non-Potable Water - PPR - Reducing Tee - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR reducing tee for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06527,plumbing,Piping Systems,Non-Potable Water - PPR - Straight Pipe - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR straight pipe for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,LM,,,,,,,
PLUMB-06528,plumbing,Piping Systems,Non-Potable Water - PPR - Straight Pipe - 15-25 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR straight pipe for non-potable water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,LM,,,,,,,
PLUMB-06529,plumbing,Piping Systems,Non-Potable Water - PPR - Straight Pipe - 250-400 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR straight pipe for non-potable water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,LM,,,,,,,
PLUMB-06530,plumbing,Piping Systems,Non-Potable Water - PPR - Straight Pipe - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR straight pipe for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,LM,,,,,,,
PLUMB-06531,plumbing,Piping Systems,Non-Potable Water - PPR - Straight Pipe - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR straight pipe for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,LM,,,,,,,
PLUMB-06532,plumbing,Piping Systems,Non-Potable Water - PPR - Union - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR union for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06533,plumbing,Piping Systems,Non-Potable Water - PPR - Union - 15-25 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR union for non-potable water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06534,plumbing,Piping Systems,Non-Potable Water - PPR - Union - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR union for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06535,plumbing,Piping Systems,Non-Potable Water - PPR - Union - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR union for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06536,plumbing,Piping Systems,Non-Potable Water - PPR - Wall Flange - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR wall flange for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06537,plumbing,Piping Systems,Non-Potable Water - PPR - Wall Flange - 15-25 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR wall flange for non-potable water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06538,plumbing,Piping Systems,Non-Potable Water - PPR - Wall Flange - 250-400 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR wall flange for non-potable water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06539,plumbing,Piping Systems,Non-Potable Water - PPR - Wall Flange - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR wall flange for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06540,plumbing,Piping Systems,Non-Potable Water - PPR - Wall Flange - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR wall flange for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06541,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - 45 Degree Elbow - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L 45 degree elbow for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06542,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - 45 Degree Elbow - 15-25 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L 45 degree elbow for non-potable water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06543,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - 45 Degree Elbow - 250-400 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L 45 degree elbow for non-potable water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06544,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - 45 Degree Elbow - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L 45 degree elbow for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06545,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - 45 Degree Elbow - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L 45 degree elbow for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06546,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - 90 Degree Elbow - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L 90 degree elbow for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06547,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - 90 Degree Elbow - 15-25 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L 90 degree elbow for non-potable water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06548,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - 90 Degree Elbow - 250-400 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L 90 degree elbow for non-potable water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06549,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - 90 Degree Elbow - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L 90 degree elbow for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06550,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - 90 Degree Elbow - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L 90 degree elbow for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06551,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Access Fitting - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L access fitting for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06552,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Access Fitting - 15-25 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L access fitting for non-potable water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06553,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Access Fitting - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L access fitting for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06554,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Access Fitting - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L access fitting for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06555,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Cleanout Fitting - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L cleanout fitting for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06556,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Cleanout Fitting - 15-25 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L cleanout fitting for non-potable water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06557,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Cleanout Fitting - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L cleanout fitting for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06558,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Cleanout Fitting - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L cleanout fitting for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06559,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Concentric Reducer - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L concentric reducer for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06560,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Concentric Reducer - 15-25 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L concentric reducer for non-potable water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06561,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Concentric Reducer - 250-400 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L concentric reducer for non-potable water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06562,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Concentric Reducer - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L concentric reducer for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06563,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Concentric Reducer - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L concentric reducer for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06564,plumbing,Piping Systems,Non-Potable Water - Stainless Steel 316L - Coupling - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission Stainless Steel 316L coupling for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
