itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-10992,plumbing,Plumbing Fixtures,Accessible Bathtub - Accessible/PRM,"Subcategory: Baths | Supply, install, connect, seal, test and commission accessible/prm accessible bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11003,plumbing,Plumbing Fixtures,Freestanding Bathtub - Commercial Heavy Duty,"Subcategory: Baths | Supply, install, connect, seal, test and commission commercial heavy duty freestanding bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11004,plumbing,Plumbing Fixtures,Freestanding Bathtub - Low-Flow/Water Efficient,"Subcategory: Baths | Supply, install, connect, seal, test and commission low-flow/water efficient freestanding bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11005,plumbing,Plumbing Fixtures,Freestanding Bathtub - Sensor Operated,"Subcategory: Baths | Supply, install, connect, seal, test and commission sensor operated freestanding bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11006,plumbing,Plumbing Fixtures,Freestanding Bathtub - Standard Grade,"Subcategory: Baths | Supply, install, connect, seal, test and commission standard grade freestanding bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11007,plumbing,Plumbing Fixtures,Whirlpool Bathtub - Accessible/PRM,"Subcategory: Baths | Supply, install, connect, seal, test and commission accessible/prm whirlpool bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11008,plumbing,Plumbing Fixtures,Whirlpool Bathtub - Commercial Heavy Duty,"Subcategory: Baths | Supply, install, connect, seal, test and commission commercial heavy duty whirlpool bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11009,plumbing,Plumbing Fixtures,Whirlpool Bathtub - Low-Flow/Water Efficient,"Subcategory: Baths | Supply, install, connect, seal, test and commission low-flow/water efficient whirlpool bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11010,plumbing,Plumbing Fixtures,Whirlpool Bathtub - Sensor Operated,"Subcategory: Baths | Supply, install, connect, seal, test and commission sensor operated whirlpool bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11011,plumbing,Plumbing Fixtures,Whirlpool Bathtub - Standard Grade,"Subcategory: Baths | Supply, install, connect, seal, test and commission standard grade whirlpool bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11012,plumbing,Plumbing Fixtures,Electronic Washlet Seat - Accessible/PRM,"Subcategory: Bidets | Supply, install, connect, seal, test and commission accessible/prm electronic washlet seat, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11013,plumbing,Plumbing Fixtures,Electronic Washlet Seat - Commercial Heavy Duty,"Subcategory: Bidets | Supply, install, connect, seal, test and commission commercial heavy duty electronic washlet seat, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11014,plumbing,Plumbing Fixtures,Electronic Washlet Seat - Low-Flow/Water Efficient,"Subcategory: Bidets | Supply, install, connect, seal, test and commission low-flow/water efficient electronic washlet seat, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11015,plumbing,Plumbing Fixtures,Electronic Washlet Seat - Sensor Operated,"Subcategory: Bidets | Supply, install, connect, seal, test and commission sensor operated electronic washlet seat, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11016,plumbing,Plumbing Fixtures,Electronic Washlet Seat - Standard Grade,"Subcategory: Bidets | Supply, install, connect, seal, test and commission standard grade electronic washlet seat, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11017,plumbing,Plumbing Fixtures,Floor-Mounted Bidet - Accessible/PRM,"Subcategory: Bidets | Supply, install, connect, seal, test and commission accessible/prm floor-mounted bidet, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11018,plumbing,Plumbing Fixtures,Floor-Mounted Bidet - Commercial Heavy Duty,"Subcategory: Bidets | Supply, install, connect, seal, test and commission commercial heavy duty floor-mounted bidet, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11019,plumbing,Plumbing Fixtures,Floor-Mounted Bidet - Low-Flow/Water Efficient,"Subcategory: Bidets | Supply, install, connect, seal, test and commission low-flow/water efficient floor-mounted bidet, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11020,plumbing,Plumbing Fixtures,Floor-Mounted Bidet - Sensor Operated,"Subcategory: Bidets | Supply, install, connect, seal, test and commission sensor operated floor-mounted bidet, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11021,plumbing,Plumbing Fixtures,Floor-Mounted Bidet - Standard Grade,"Subcategory: Bidets | Supply, install, connect, seal, test and commission standard grade floor-mounted bidet, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11022,plumbing,Plumbing Fixtures,Handheld Bidet Spray - Accessible/PRM,"Subcategory: Bidets | Supply, install, connect, seal, test and commission accessible/prm handheld bidet spray, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11023,plumbing,Plumbing Fixtures,Handheld Bidet Spray - Commercial Heavy Duty,"Subcategory: Bidets | Supply, install, connect, seal, test and commission commercial heavy duty handheld bidet spray, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11024,plumbing,Plumbing Fixtures,Handheld Bidet Spray - Low-Flow/Water Efficient,"Subcategory: Bidets | Supply, install, connect, seal, test and commission low-flow/water efficient handheld bidet spray, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11025,plumbing,Plumbing Fixtures,Handheld Bidet Spray - Sensor Operated,"Subcategory: Bidets | Supply, install, connect, seal, test and commission sensor operated handheld bidet spray, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11026,plumbing,Plumbing Fixtures,Handheld Bidet Spray - Standard Grade,"Subcategory: Bidets | Supply, install, connect, seal, test and commission standard grade handheld bidet spray, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11027,plumbing,Plumbing Fixtures,Wall-Hung Bidet - Accessible/PRM,"Subcategory: Bidets | Supply, install, connect, seal, test and commission accessible/prm wall-hung bidet, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11028,plumbing,Plumbing Fixtures,Wall-Hung Bidet - Commercial Heavy Duty,"Subcategory: Bidets | Supply, install, connect, seal, test and commission commercial heavy duty wall-hung bidet, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11029,plumbing,Plumbing Fixtures,Wall-Hung Bidet - Low-Flow/Water Efficient,"Subcategory: Bidets | Supply, install, connect, seal, test and commission low-flow/water efficient wall-hung bidet, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11030,plumbing,Plumbing Fixtures,Wall-Hung Bidet - Sensor Operated,"Subcategory: Bidets | Supply, install, connect, seal, test and commission sensor operated wall-hung bidet, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11031,plumbing,Plumbing Fixtures,Wall-Hung Bidet - Standard Grade,"Subcategory: Bidets | Supply, install, connect, seal, test and commission standard grade wall-hung bidet, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11032,plumbing,Plumbing Fixtures,Accessible Drinking Fountain - Accessible/PRM,"Subcategory: Drinking Water | Supply, install, connect, seal, test and commission accessible/prm accessible drinking fountain, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11033,plumbing,Plumbing Fixtures,Accessible Drinking Fountain - Commercial Heavy Duty,"Subcategory: Drinking Water | Supply, install, connect, seal, test and commission commercial heavy duty accessible drinking fountain, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11034,plumbing,Plumbing Fixtures,Accessible Drinking Fountain - Low-Flow/Water Efficient,"Subcategory: Drinking Water | Supply, install, connect, seal, test and commission low-flow/water efficient accessible drinking fountain, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11035,plumbing,Plumbing Fixtures,Accessible Drinking Fountain - Sensor Operated,"Subcategory: Drinking Water | Supply, install, connect, seal, test and commission sensor operated accessible drinking fountain, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11036,plumbing,Plumbing Fixtures,Accessible Drinking Fountain - Standard Grade,"Subcategory: Drinking Water | Supply, install, connect, seal, test and commission standard grade accessible drinking fountain, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11037,plumbing,Plumbing Fixtures,Bottle Filling Station - Accessible/PRM,"Subcategory: Drinking Water | Supply, install, connect, seal, test and commission accessible/prm bottle filling station, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11038,plumbing,Plumbing Fixtures,Bottle Filling Station - Commercial Heavy Duty,"Subcategory: Drinking Water | Supply, install, connect, seal, test and commission commercial heavy duty bottle filling station, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11039,plumbing,Plumbing Fixtures,Bottle Filling Station - Low-Flow/Water Efficient,"Subcategory: Drinking Water | Supply, install, connect, seal, test and commission low-flow/water efficient bottle filling station, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11040,plumbing,Plumbing Fixtures,Bottle Filling Station - Sensor Operated,"Subcategory: Drinking Water | Supply, install, connect, seal, test and commission sensor operated bottle filling station, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11041,plumbing,Plumbing Fixtures,Bottle Filling Station - Standard Grade,"Subcategory: Drinking Water | Supply, install, connect, seal, test and commission standard grade bottle filling station, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
