itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-10712,plumbing,Plumbing Equipment,Air Receiver - Custom/Packaged,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission custom/packaged air receiver, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10723,plumbing,Plumbing Equipment,Expansion Vessel - Small Capacity,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission small capacity expansion vessel, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10724,plumbing,Plumbing Equipment,Hydropneumatic Pressure Vessel - Custom/Packaged,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission custom/packaged hydropneumatic pressure vessel, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10725,plumbing,Plumbing Equipment,Hydropneumatic Pressure Vessel - Large Capacity,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission large capacity hydropneumatic pressure vessel, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10726,plumbing,Plumbing Equipment,Hydropneumatic Pressure Vessel - Medium Capacity,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission medium capacity hydropneumatic pressure vessel, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10727,plumbing,Plumbing Equipment,Hydropneumatic Pressure Vessel - Small Capacity,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission small capacity hydropneumatic pressure vessel, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10728,plumbing,Plumbing Equipment,Surge Vessel - Custom/Packaged,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission custom/packaged surge vessel, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10729,plumbing,Plumbing Equipment,Surge Vessel - Large Capacity,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission large capacity surge vessel, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10730,plumbing,Plumbing Equipment,Surge Vessel - Medium Capacity,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission medium capacity surge vessel, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10731,plumbing,Plumbing Equipment,Surge Vessel - Small Capacity,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission small capacity surge vessel, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10732,plumbing,Plumbing Equipment,Vacuum Break Tank - Custom/Packaged,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission custom/packaged vacuum break tank, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10733,plumbing,Plumbing Equipment,Vacuum Break Tank - Large Capacity,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission large capacity vacuum break tank, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10734,plumbing,Plumbing Equipment,Vacuum Break Tank - Medium Capacity,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission medium capacity vacuum break tank, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10735,plumbing,Plumbing Equipment,Vacuum Break Tank - Small Capacity,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission small capacity vacuum break tank, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10736,plumbing,Plumbing Equipment,Chemical Dosing Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby chemical dosing pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10737,plumbing,Plumbing Equipment,Chemical Dosing Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby chemical dosing pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10738,plumbing,Plumbing Equipment,Chemical Dosing Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump chemical dosing pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10739,plumbing,Plumbing Equipment,Chemical Dosing Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set chemical dosing pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10740,plumbing,Plumbing Equipment,Condensate Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby condensate pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10741,plumbing,Plumbing Equipment,Condensate Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby condensate pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10742,plumbing,Plumbing Equipment,Condensate Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump condensate pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10743,plumbing,Plumbing Equipment,Condensate Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set condensate pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10744,plumbing,Plumbing Equipment,Domestic Water Booster Pump Set - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby domestic water booster pump set, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10745,plumbing,Plumbing Equipment,Domestic Water Booster Pump Set - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby domestic water booster pump set, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10746,plumbing,Plumbing Equipment,Domestic Water Booster Pump Set - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump domestic water booster pump set, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10747,plumbing,Plumbing Equipment,Domestic Water Booster Pump Set - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set domestic water booster pump set, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10748,plumbing,Plumbing Equipment,Fountain Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby fountain pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10749,plumbing,Plumbing Equipment,Fountain Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby fountain pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10750,plumbing,Plumbing Equipment,Fountain Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump fountain pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10751,plumbing,Plumbing Equipment,Fountain Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set fountain pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10752,plumbing,Plumbing Equipment,Grease Waste Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby grease waste pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10753,plumbing,Plumbing Equipment,Grease Waste Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby grease waste pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10754,plumbing,Plumbing Equipment,Grease Waste Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump grease waste pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10755,plumbing,Plumbing Equipment,Grease Waste Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set grease waste pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10756,plumbing,Plumbing Equipment,Greywater Transfer Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby greywater transfer pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10757,plumbing,Plumbing Equipment,Greywater Transfer Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby greywater transfer pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10758,plumbing,Plumbing Equipment,Greywater Transfer Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump greywater transfer pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10759,plumbing,Plumbing Equipment,Greywater Transfer Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set greywater transfer pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10760,plumbing,Plumbing Equipment,Hot Water Circulation Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby hot water circulation pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10761,plumbing,Plumbing Equipment,Hot Water Circulation Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby hot water circulation pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
