itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00062,plumbing,Drainage Specialties,Air Admittance Valve - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty air admittance valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00073,plumbing,Drainage Specialties,Balcony Drain - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty balcony drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00074,plumbing,Drainage Specialties,Bottle Gully - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty bottle gully, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00075,plumbing,Drainage Specialties,Bottle Gully - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty bottle gully, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00076,plumbing,Drainage Specialties,Bottle Gully - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty bottle gully, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00077,plumbing,Drainage Specialties,Bottle Gully - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty bottle gully, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00078,plumbing,Drainage Specialties,Channel Drain - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty channel drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00079,plumbing,Drainage Specialties,Channel Drain - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty channel drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00080,plumbing,Drainage Specialties,Channel Drain - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty channel drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00081,plumbing,Drainage Specialties,Channel Drain - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty channel drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00082,plumbing,Drainage Specialties,Cleanout - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00083,plumbing,Drainage Specialties,Cleanout - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00084,plumbing,Drainage Specialties,Cleanout - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00085,plumbing,Drainage Specialties,Cleanout - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00086,plumbing,Drainage Specialties,Drainage Rodding Eye - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty drainage rodding eye, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00087,plumbing,Drainage Specialties,Drainage Rodding Eye - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty drainage rodding eye, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00088,plumbing,Drainage Specialties,Drainage Rodding Eye - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty drainage rodding eye, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00089,plumbing,Drainage Specialties,Drainage Rodding Eye - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty drainage rodding eye, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00090,plumbing,Drainage Specialties,Floor Cleanout - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty floor cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00091,plumbing,Drainage Specialties,Floor Cleanout - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty floor cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00092,plumbing,Drainage Specialties,Floor Cleanout - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty floor cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00093,plumbing,Drainage Specialties,Floor Cleanout - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty floor cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00094,plumbing,Drainage Specialties,Floor Drain - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty floor drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00095,plumbing,Drainage Specialties,Floor Drain - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty floor drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00096,plumbing,Drainage Specialties,Floor Drain - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty floor drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00097,plumbing,Drainage Specialties,Floor Drain - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty floor drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00098,plumbing,Drainage Specialties,Grease Interceptor - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty grease interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00099,plumbing,Drainage Specialties,Grease Interceptor - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty grease interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00100,plumbing,Drainage Specialties,Grease Interceptor - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty grease interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00101,plumbing,Drainage Specialties,Grease Interceptor - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty grease interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00102,plumbing,Drainage Specialties,Grease Trap - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty grease trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00103,plumbing,Drainage Specialties,Grease Trap - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty grease trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00104,plumbing,Drainage Specialties,Grease Trap - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty grease trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00105,plumbing,Drainage Specialties,Grease Trap - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty grease trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00106,plumbing,Drainage Specialties,Gully Trap - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty gully trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00107,plumbing,Drainage Specialties,Gully Trap - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty gully trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00108,plumbing,Drainage Specialties,Gully Trap - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty gully trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00109,plumbing,Drainage Specialties,Gully Trap - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty gully trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00110,plumbing,Drainage Specialties,Hair Interceptor - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty hair interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00111,plumbing,Drainage Specialties,Hair Interceptor - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty hair interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00112,plumbing,Drainage Specialties,Hair Interceptor - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty hair interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00113,plumbing,Drainage Specialties,Hair Interceptor - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty hair interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
