itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00186,plumbing,Fixture Fittings and Accessories,Angle Valve - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install angle valve with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00197,plumbing,Fixture Fittings and Accessories,Basin Pillar Tap - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install basin pillar tap with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00198,plumbing,Fixture Fittings and Accessories,Basket Waste - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install basket waste with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00199,plumbing,Fixture Fittings and Accessories,Basket Waste - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install basket waste with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00200,plumbing,Fixture Fittings and Accessories,Basket Waste - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install basket waste with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00201,plumbing,Fixture Fittings and Accessories,Basket Waste - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install basket waste with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00202,plumbing,Fixture Fittings and Accessories,Bib Tap - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install bib tap with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00203,plumbing,Fixture Fittings and Accessories,Bib Tap - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install bib tap with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00204,plumbing,Fixture Fittings and Accessories,Bib Tap - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install bib tap with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00205,plumbing,Fixture Fittings and Accessories,Bib Tap - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install bib tap with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00206,plumbing,Fixture Fittings and Accessories,Bottle Trap - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install bottle trap with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00207,plumbing,Fixture Fittings and Accessories,Bottle Trap - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install bottle trap with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00208,plumbing,Fixture Fittings and Accessories,Bottle Trap - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install bottle trap with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00209,plumbing,Fixture Fittings and Accessories,Bottle Trap - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install bottle trap with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00210,plumbing,Fixture Fittings and Accessories,Clinical Mixer Tap - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install clinical mixer tap with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00211,plumbing,Fixture Fittings and Accessories,Clinical Mixer Tap - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install clinical mixer tap with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00212,plumbing,Fixture Fittings and Accessories,Clinical Mixer Tap - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install clinical mixer tap with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00213,plumbing,Fixture Fittings and Accessories,Clinical Mixer Tap - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install clinical mixer tap with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00214,plumbing,Fixture Fittings and Accessories,Concealed Cistern - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install concealed cistern with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00215,plumbing,Fixture Fittings and Accessories,Concealed Cistern - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install concealed cistern with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00216,plumbing,Fixture Fittings and Accessories,Concealed Cistern - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install concealed cistern with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00217,plumbing,Fixture Fittings and Accessories,Concealed Cistern - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install concealed cistern with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00218,plumbing,Fixture Fittings and Accessories,Exposed Cistern - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install exposed cistern with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00219,plumbing,Fixture Fittings and Accessories,Exposed Cistern - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install exposed cistern with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00220,plumbing,Fixture Fittings and Accessories,Exposed Cistern - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install exposed cistern with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00221,plumbing,Fixture Fittings and Accessories,Exposed Cistern - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install exposed cistern with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00222,plumbing,Fixture Fittings and Accessories,Fixture Stop Valve - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install fixture stop valve with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00223,plumbing,Fixture Fittings and Accessories,Fixture Stop Valve - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install fixture stop valve with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00224,plumbing,Fixture Fittings and Accessories,Fixture Stop Valve - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install fixture stop valve with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00225,plumbing,Fixture Fittings and Accessories,Fixture Stop Valve - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install fixture stop valve with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00226,plumbing,Fixture Fittings and Accessories,Floor Drain Trap - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install floor drain trap with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00227,plumbing,Fixture Fittings and Accessories,Floor Drain Trap - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install floor drain trap with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00228,plumbing,Fixture Fittings and Accessories,Floor Drain Trap - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install floor drain trap with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00229,plumbing,Fixture Fittings and Accessories,Floor Drain Trap - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install floor drain trap with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00230,plumbing,Fixture Fittings and Accessories,Flush Valve - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install flush valve with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00231,plumbing,Fixture Fittings and Accessories,Flush Valve - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install flush valve with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00232,plumbing,Fixture Fittings and Accessories,Flush Valve - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install flush valve with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00233,plumbing,Fixture Fittings and Accessories,Flush Valve - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install flush valve with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00234,plumbing,Fixture Fittings and Accessories,Flushometer - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install flushometer with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00235,plumbing,Fixture Fittings and Accessories,Flushometer - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install flushometer with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00236,plumbing,Fixture Fittings and Accessories,Flushometer - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install flushometer with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00237,plumbing,Fixture Fittings and Accessories,Flushometer - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install flushometer with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00238,plumbing,Fixture Fittings and Accessories,Foot-Operated Faucet - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install foot-operated faucet with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00239,plumbing,Fixture Fittings and Accessories,Foot-Operated Faucet - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install foot-operated faucet with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00240,plumbing,Fixture Fittings and Accessories,Foot-Operated Faucet - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install foot-operated faucet with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00241,plumbing,Fixture Fittings and Accessories,Foot-Operated Faucet - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install foot-operated faucet with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
