itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-AD-0001,hvac,Air Distribution – Diffusers,Supply Air Diffuser,"Provide and install supply air diffuser complete with frame, removable core and required fixing accessories. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Type: ___ | Neck Size: ___ | Airflow: ___ | Throw: ___ | Finish: ___",,no.,,,,,,,
HVAC-AD-0012,hvac,Air Distribution – Diffusers,Adjustable Swirl Diffuser,Provide and install swirl diffuser with adjustable discharge elements for heating and cooling modes. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Actuation: ___ | Pattern: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0013,hvac,Air Distribution – Diffusers,Jet Diffuser,Provide and install long-throw jet diffuser with adjustable discharge direction. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Outlet Diameter: ___ | Airflow: ___ | Throw: ___ | Angle Range: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0014,hvac,Air Distribution – Diffusers,Jet Nozzle Diffuser,Provide and install spherical or nozzle-type high-velocity jet diffuser for long-throw applications. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Nozzle Size: ___ | Airflow: ___ | Throw: ___ | Rotation: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0015,hvac,Air Distribution – Diffusers,Drum Diffuser,Provide and install adjustable drum diffuser for high-capacity long-throw air distribution. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Drum Size: ___ | Airflow: ___ | Throw: ___ | Blade Arrangement: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0016,hvac,Air Distribution – Diffusers,Perforated Face Diffuser,Provide and install perforated-face diffuser with internal distribution plate. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Neck Size: ___ | Airflow: ___ | Perforation: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0017,hvac,Air Distribution – Diffusers,Plaque Diffuser,Provide and install architectural plaque diffuser with removable face panel. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Neck Size: ___ | Airflow: ___ | Border Type: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0018,hvac,Air Distribution – Diffusers,Coanda Effect Diffuser,Provide and install ceiling diffuser designed for horizontal Coanda-effect air projection. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Throw: ___ | Mounting Height: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0019,hvac,Air Distribution – Diffusers,Displacement Ventilation Diffuser – Wall,Provide and install low-velocity wall-mounted displacement diffuser. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow: ___ | Discharge Velocity: ___ | Mounting Height: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0020,hvac,Air Distribution – Diffusers,Displacement Ventilation Diffuser – Floor,Provide and install low-velocity floor-mounted displacement diffuser. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow: ___ | Floor System: ___ | Load Rating: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0021,hvac,Air Distribution – Diffusers,Displacement Ventilation Diffuser – Corner,Provide and install corner displacement diffuser for low-level air supply. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow: ___ | Discharge Velocity: ___ | Mounting: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0022,hvac,Air Distribution – Diffusers,Displacement Ventilation Diffuser – Circular,Provide and install circular low-velocity displacement diffuser. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diameter: ___ | Airflow: ___ | Discharge Velocity: ___ | Mounting: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0023,hvac,Air Distribution – Diffusers,Floor Swirl Diffuser,Provide and install floor swirl diffuser suitable for raised-floor air distribution. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diameter: ___ | Airflow: ___ | Swirl Adjustment: ___ | Load Rating: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0024,hvac,Air Distribution – Diffusers,Floor Grille Diffuser,Provide and install floor supply grille diffuser with load-rated frame. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Load Rating: ___ | Damper: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0025,hvac,Air Distribution – Diffusers,Underfloor Air Distribution Diffuser,Provide and install adjustable underfloor air distribution terminal complete with basket and control device. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diameter: ___ | Airflow Range: ___ | Control: ___ | Floor Depth: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0026,hvac,Air Distribution – Diffusers,Step Diffuser,Provide and install step-mounted diffuser for auditorium or tiered seating ventilation. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Throw: ___ | Acoustic Rating: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0027,hvac,Air Distribution – Diffusers,Seat Diffuser,Provide and install seat-integrated low-velocity diffuser complete with connection spigot. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Outlet Size: ___ | Airflow: ___ | Seat Interface: ___ | Noise Criterion: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0028,hvac,Air Distribution – Diffusers,Ceiling Induction Diffuser,Provide and install induction-type ceiling diffuser for high room-air entrainment. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Induction Ratio: ___ | Throw: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0029,hvac,Air Distribution – Diffusers,High-Capacity Ceiling Diffuser,Provide and install high-capacity ceiling diffuser for large-volume spaces. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Throw: ___ | Mounting Height: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0030,hvac,Air Distribution – Diffusers,Thermal Variable Diffuser,Provide and install thermally controlled diffuser that varies discharge pattern or aperture. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow Range: ___ | Control Range: ___ | Heating/Cooling: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0031,hvac,Air Distribution – Diffusers,Motorized Variable-Geometry Diffuser,Provide and install motorized variable-geometry diffuser complete with actuator and controls interface. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow Range: ___ | Actuator: ___ | Control Signal: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0032,hvac,Air Distribution – Diffusers,Cleanroom Laminar Flow Diffuser,Provide and install laminar-flow ceiling diffuser for cleanroom air distribution. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Face Velocity: ___ | Filter Interface: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0033,hvac,Air Distribution – Diffusers,Operating Theatre Laminar Flow Canopy,Provide and install laminar-flow ceiling canopy complete with diffuser modules and coordinated support frame. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Canopy Size: ___ | Airflow: ___ | Face Velocity: ___ | Filter Class: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0034,hvac,Air Distribution – Diffusers,Architectural Custom Diffuser,Provide and install custom-fabricated architectural diffuser coordinated with interior finishes. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Geometry: ___ | Size: ___ | Airflow: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0035,hvac,Air Distribution – Grilles and Registers,Return Air Grille,Provide and install return air grille complete with frame and concealed fixing. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Free Area: ___ | Airflow: ___ | Blade Type: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0036,hvac,Air Distribution – Grilles and Registers,Exhaust Air Grille,Provide and install exhaust air grille suitable for scheduled extract air quantity. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Free Area: ___ | Airflow: ___ | Blade Type: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0037,hvac,Air Distribution – Grilles and Registers,Fresh Air Intake Grille,Provide and install indoor fresh-air intake grille complete with removable core. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Free Area: ___ | Airflow: ___ | Filter: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0038,hvac,Air Distribution – Grilles and Registers,Supply Air Grille – Single Deflection,Provide and install single-deflection supply grille with adjustable blades. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Blade Orientation: ___ | Damper: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0039,hvac,Air Distribution – Grilles and Registers,Supply Air Grille – Double Deflection,Provide and install double-deflection supply grille with independently adjustable blade sets. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Blade Spacing: ___ | Damper: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0040,hvac,Air Distribution – Grilles and Registers,Supply Air Register,Provide and install supply air register consisting of grille and integral volume-control damper. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Blade Type: ___ | Damper Type: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0041,hvac,Air Distribution – Grilles and Registers,Return Air Register,Provide and install return air register with integral opposed-blade damper. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Blade Type: ___ | Damper Type: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0042,hvac,Air Distribution – Grilles and Registers,Exhaust Air Register,Provide and install exhaust air register complete with integral damper. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Blade Type: ___ | Damper Type: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0043,hvac,Air Distribution – Grilles and Registers,Transfer Grille,Provide and install transfer grille for wall or partition mounting. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Free Area: ___ | Airflow: ___ | Sightproof: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0044,hvac,Air Distribution – Grilles and Registers,Door Grille,Provide and install door-mounted transfer grille complete with matching rear frame. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Cutout Size: ___ | Free Area: ___ | Door Thickness: ___ | Sightproof: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0045,hvac,Air Distribution – Grilles and Registers,Sightproof Door Grille,Provide and install sightproof door transfer grille with inverted-V or chevron blades. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Cutout Size: ___ | Free Area: ___ | Acoustic Rating: ___ | Door Thickness: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0046,hvac,Air Distribution – Grilles and Registers,Egg Crate Grille,Provide and install egg-crate grille for return or exhaust air service. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Core Size: ___ | Free Area: ___ | Airflow: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0047,hvac,Air Distribution – Grilles and Registers,Linear Bar Grille,Provide and install linear bar grille with fixed or removable core. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Width: ___ | Length: ___ | Bar Spacing: ___ | Airflow/LM: ___ | Finish: ___,,LM,,,,,,,
HVAC-AD-0048,hvac,Air Distribution – Grilles and Registers,Curved Linear Bar Grille,Provide and install factory-curved linear bar grille to coordinated radius. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Radius: ___ | Width: ___ | Bar Spacing: ___ | Airflow/LM: ___ | Finish: ___,,LM,,,,,,,
HVAC-AD-0049,hvac,Air Distribution – Grilles and Registers,Floor Linear Bar Grille,Provide and install load-rated linear bar grille for floor installation. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Width: ___ | Length: ___ | Load Rating: ___ | Airflow/LM: ___ | Finish: ___,,LM,,,,,,,
HVAC-AD-0050,hvac,Air Distribution – Grilles and Registers,Heavy-Duty Floor Grille,Provide and install heavy-duty floor grille for pedestrian or trolley loading. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Load Rating: ___ | Airflow: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0051,hvac,Air Distribution – Grilles and Registers,Security Grille,Provide and install tamper-resistant security grille with reinforced frame and security fixings. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Bar/Perforation: ___ | Security Grade: ___ | Airflow: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0052,hvac,Air Distribution – Grilles and Registers,Prison-Grade Grille,Provide and install high-security grille designed for detention or anti-ligature applications. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Security Grade: ___ | Ligature Resistance: ___ | Airflow: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0053,hvac,Air Distribution – Grilles and Registers,Ball-Proof Sports Hall Grille,Provide and install impact-resistant grille suitable for sports halls. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Impact Rating: ___ | Airflow: ___ | Fixing: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0054,hvac,Air Distribution – Grilles and Registers,Radiator-Type Grille,Provide and install architectural radiator-style grille for air transfer or return. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Free Area: ___ | Airflow: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0055,hvac,Air Distribution – Grilles and Registers,Perforated Return Air Grille,Provide and install perforated return air grille with removable face. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Perforation: ___ | Free Area: ___ | Airflow: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0056,hvac,Air Distribution – Grilles and Registers,Filter Return Air Grille,Provide and install hinged return air grille with filter frame and access arrangement. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Filter Size: ___ | Filter Class: ___ | Airflow: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0057,hvac,Air Distribution – Grilles and Registers,Hinged Return Air Grille,Provide and install hinged return air grille for access to concealed equipment. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Hinge Type: ___ | Latch: ___ | Airflow: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0058,hvac,Air Distribution – Grilles and Registers,Removable-Core Grille,Provide and install grille with removable core for cleaning and maintenance access. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Core Type: ___ | Airflow: ___ | Mounting: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0059,hvac,Air Distribution – Grilles and Registers,Curved Face Grille,Provide and install curved-face grille coordinated with wall or column geometry. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Radius: ___ | Face Size: ___ | Airflow: ___ | Blade Type: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0060,hvac,Air Distribution – Grilles and Registers,Circular Grille,"Provide and install circular supply, return or exhaust grille as scheduled. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diameter: ___ | Airflow: ___ | Blade Type: ___ | Damper: ___ | Finish: ___",,no.,,,,,,,
HVAC-AD-0061,hvac,Air Distribution – Grilles and Registers,Industrial Supply Grille,Provide and install heavy-duty industrial supply grille with adjustable blades. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Material: ___ | Blade Type: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0062,hvac,Air Distribution – Grilles and Registers,Industrial Return Grille,Provide and install heavy-duty industrial return grille. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Free Area: ___ | Airflow: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0063,hvac,Air Distribution – Grilles and Registers,Cleanroom Return Air Grille,Provide and install flush cleanroom return grille with sealed frame. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Leakage Class: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0064,hvac,Air Distribution – Grilles and Registers,Stainless Steel Grille,"Provide and install stainless steel grille for corrosive, hygienic or wet-area application. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Grade: ___ | Airflow: ___ | Blade Type: ___ | Finish: ___",,no.,,,,,,,
HVAC-AD-0065,hvac,Air Distribution – Grilles and Registers,Aluminum Grille,Provide and install extruded aluminum grille complete with frame and fixings. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Alloy: ___ | Airflow: ___ | Blade Type: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0066,hvac,Air Distribution – Grilles and Registers,Plastic Grille,Provide and install corrosion-resistant plastic grille for wet or chemical environments. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Material: ___ | Airflow: ___ | UV Rating: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0067,hvac,Air Distribution – Louvers,External Weather Louver,"Provide and install external weather louver complete with drainable blades, bird screen and perimeter frame. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Free Area: ___ | Airflow: ___ | Water Penetration Class: ___ | Finish: ___",,m²,,,,,,,
HVAC-AD-0068,hvac,Air Distribution – Louvers,Drainable Blade Louver,Provide and install drainable-blade louver designed to limit water penetration. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Free Area: ___ | Airflow: ___ | Pressure Drop: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0069,hvac,Air Distribution – Louvers,Non-Drainable Blade Louver,Provide and install fixed non-drainable blade louver for protected locations. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Free Area: ___ | Airflow: ___ | Blade Angle: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0070,hvac,Air Distribution – Louvers,Combination Intake and Exhaust Louver,Provide and install divided combination louver with separated intake and exhaust air paths. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Intake Airflow: ___ | Exhaust Airflow: ___ | Separation: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0071,hvac,Air Distribution – Louvers,Acoustic Louver,Provide and install acoustic louver with sound-absorbing blade construction. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Airflow: ___ | Insertion Loss: ___ | Pressure Drop: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0072,hvac,Air Distribution – Louvers,Sand Trap Louver,Provide and install sand-trap louver complete with collection tray and cleanout access. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Airflow: ___ | Sand Efficiency: ___ | Pressure Drop: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0073,hvac,Air Distribution – Louvers,Storm-Resistant Louver,Provide and install storm-resistant louver for severe wind-driven rain exposure. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Airflow: ___ | Wind Rating: ___ | Rain Rating: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0074,hvac,Air Distribution – Louvers,Hurricane-Rated Louver,Provide and install impact and pressure-rated louver for hurricane or cyclone conditions. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Airflow: ___ | Impact Rating: ___ | Pressure Rating: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0075,hvac,Air Distribution – Louvers,Blast-Resistant Louver,Provide and install blast-resistant louver assembly complete with reinforced frame and anchorage. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Airflow: ___ | Blast Rating: ___ | Anchorage: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0076,hvac,Air Distribution – Louvers,Security Louver,Provide and install security louver with reinforced blades and tamper-resistant fixings. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Security Grade: ___ | Free Area: ___ | Airflow: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0077,hvac,Air Distribution – Louvers,Penthouse Louver,Provide and install louvered penthouse assembly complete with roof curb and weatherproof construction. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Overall Size: ___ | Airflow: ___ | Free Area: ___ | Roof Curb: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0078,hvac,Air Distribution – Louvers,Roof Intake Louver,Provide and install roof-mounted intake louver or hood complete with curb and bird screen. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Airflow: ___ | Curb Height: ___ | Screen: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0079,hvac,Air Distribution – Louvers,Roof Exhaust Louver,Provide and install roof-mounted exhaust louver or hood complete with curb and backdraft protection. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Airflow: ___ | Curb Height: ___ | Backdraft Device: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0080,hvac,Air Distribution – Louvers,Motorized Louver,"Provide and install louver with motorized blades, actuator and controls interface. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Airflow: ___ | Actuator: ___ | Control Signal: ___ | Finish: ___",,m²,,,,,,,
HVAC-AD-0081,hvac,Air Distribution – Louvers,Operable Louver,Provide and install manually or automatically operable louver assembly. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Operation: ___ | Airflow: ___ | Leakage: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0082,hvac,Air Distribution – Louvers,Sightproof Louver,Provide and install sightproof louver with chevron blade arrangement. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Free Area: ___ | Airflow: ___ | Sightproof Angle: ___ | Finish: ___,,m²,,,,,,,
