itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-0017,hvac,Chilled Water Piping,Chilled Water Piping - carbon steel pipe,"Supply, install, joint, support, test and commission carbon steel pipe for chilled water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Material: Carbon Steel | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0018,hvac,Chilled Water Piping,Chilled Water Piping - stainless steel pipe,"Supply, install, joint, support, test and commission stainless steel pipe for chilled water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Grade: ___ | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0019,hvac,Chilled Water Piping,Chilled Water Piping - copper tube,"Supply, install, joint, support, test and commission copper tube for chilled water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Type: ___ | Size: ___ | Wall Thickness: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0020,hvac,Chilled Water Piping,Chilled Water Piping - PPR pipe,"Supply, install, joint, support, test and commission PPR pipe for chilled water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0021,hvac,Chilled Water Piping,Chilled Water Piping - HDPE pipe,"Supply, install, joint, support, test and commission HDPE pipe for chilled water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0022,hvac,Chilled Water Piping,Chilled Water Piping - pre-insulated pipe,"Supply, install, joint, support, test and commission pre-insulated pipe for chilled water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Carrier Pipe: ___ | Size: ___ | Insulation: ___ | Jacket: ___ | Standard: ___",,LM,,,,,,,
HVAC-0023,hvac,Chilled Water Piping,Chilled Water Piping - elbow 90 degree,"Supply and install elbow 90 degree for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0024,hvac,Chilled Water Piping,Chilled Water Piping - elbow 45 degree,"Supply and install elbow 45 degree for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0025,hvac,Chilled Water Piping,Chilled Water Piping - tee,"Supply and install tee for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0026,hvac,Chilled Water Piping,Chilled Water Piping - reducer concentric,"Supply and install reducer concentric for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0027,hvac,Chilled Water Piping,Chilled Water Piping - reducer eccentric,"Supply and install reducer eccentric for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0028,hvac,Chilled Water Piping,Chilled Water Piping - coupling,"Supply and install coupling for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0029,hvac,Chilled Water Piping,Chilled Water Piping - union,"Supply and install union for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0030,hvac,Chilled Water Piping,Chilled Water Piping - flange,"Supply and install flange for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0031,hvac,Chilled Water Piping,Chilled Water Piping - blind flange,"Supply and install blind flange for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0032,hvac,Chilled Water Piping,Chilled Water Piping - weld neck flange,"Supply and install weld neck flange for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0033,hvac,Chilled Water Piping,Chilled Water Piping - lap joint flange,"Supply and install lap joint flange for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0034,hvac,Chilled Water Piping,Chilled Water Piping - grooved coupling,"Supply and install grooved coupling for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0035,hvac,Chilled Water Piping,Chilled Water Piping - dielectric union,"Supply and install dielectric union for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0036,hvac,Chilled Water Piping,Chilled Water Piping - expansion joint,"Supply and install expansion joint for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0037,hvac,Chilled Water Piping,Chilled Water Piping - flexible hose connector,"Supply and install flexible hose connector for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0038,hvac,Chilled Water Piping,Chilled Water Piping - pipe anchor,"Supply and install pipe anchor for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0039,hvac,Chilled Water Piping,Chilled Water Piping - pipe guide,"Supply and install pipe guide for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0040,hvac,Chilled Water Piping,Chilled Water Piping - pipe sleeve,"Supply and install pipe sleeve for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0041,hvac,Chilled Water Piping,Chilled Water Piping - puddle flange,"Supply and install puddle flange for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0042,hvac,Chilled Water Piping,Chilled Water Piping - wall penetration seal,"Supply and install wall penetration seal for chilled water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0043,hvac,Heating Hot Water Piping,Heating Hot Water Piping - carbon steel pipe,"Supply, install, joint, support, test and commission carbon steel pipe for heating hot water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Material: Carbon Steel | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0044,hvac,Heating Hot Water Piping,Heating Hot Water Piping - stainless steel pipe,"Supply, install, joint, support, test and commission stainless steel pipe for heating hot water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Grade: ___ | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0045,hvac,Heating Hot Water Piping,Heating Hot Water Piping - copper tube,"Supply, install, joint, support, test and commission copper tube for heating hot water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Type: ___ | Size: ___ | Wall Thickness: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0046,hvac,Heating Hot Water Piping,Heating Hot Water Piping - PPR pipe,"Supply, install, joint, support, test and commission PPR pipe for heating hot water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0047,hvac,Heating Hot Water Piping,Heating Hot Water Piping - HDPE pipe,"Supply, install, joint, support, test and commission HDPE pipe for heating hot water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0048,hvac,Heating Hot Water Piping,Heating Hot Water Piping - pre-insulated pipe,"Supply, install, joint, support, test and commission pre-insulated pipe for heating hot water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Carrier Pipe: ___ | Size: ___ | Insulation: ___ | Jacket: ___ | Standard: ___",,LM,,,,,,,
HVAC-0049,hvac,Heating Hot Water Piping,Heating Hot Water Piping - elbow 90 degree,"Supply and install elbow 90 degree for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0050,hvac,Heating Hot Water Piping,Heating Hot Water Piping - elbow 45 degree,"Supply and install elbow 45 degree for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0051,hvac,Heating Hot Water Piping,Heating Hot Water Piping - tee,"Supply and install tee for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0052,hvac,Heating Hot Water Piping,Heating Hot Water Piping - reducer concentric,"Supply and install reducer concentric for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0053,hvac,Heating Hot Water Piping,Heating Hot Water Piping - reducer eccentric,"Supply and install reducer eccentric for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0054,hvac,Heating Hot Water Piping,Heating Hot Water Piping - coupling,"Supply and install coupling for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0055,hvac,Heating Hot Water Piping,Heating Hot Water Piping - union,"Supply and install union for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0056,hvac,Heating Hot Water Piping,Heating Hot Water Piping - flange,"Supply and install flange for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0057,hvac,Heating Hot Water Piping,Heating Hot Water Piping - blind flange,"Supply and install blind flange for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0058,hvac,Heating Hot Water Piping,Heating Hot Water Piping - weld neck flange,"Supply and install weld neck flange for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0059,hvac,Heating Hot Water Piping,Heating Hot Water Piping - lap joint flange,"Supply and install lap joint flange for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0060,hvac,Heating Hot Water Piping,Heating Hot Water Piping - grooved coupling,"Supply and install grooved coupling for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0061,hvac,Heating Hot Water Piping,Heating Hot Water Piping - dielectric union,"Supply and install dielectric union for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0062,hvac,Heating Hot Water Piping,Heating Hot Water Piping - expansion joint,"Supply and install expansion joint for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0063,hvac,Heating Hot Water Piping,Heating Hot Water Piping - flexible hose connector,"Supply and install flexible hose connector for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0064,hvac,Heating Hot Water Piping,Heating Hot Water Piping - pipe anchor,"Supply and install pipe anchor for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0065,hvac,Heating Hot Water Piping,Heating Hot Water Piping - pipe guide,"Supply and install pipe guide for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0066,hvac,Heating Hot Water Piping,Heating Hot Water Piping - pipe sleeve,"Supply and install pipe sleeve for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0067,hvac,Heating Hot Water Piping,Heating Hot Water Piping - puddle flange,"Supply and install puddle flange for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0068,hvac,Heating Hot Water Piping,Heating Hot Water Piping - wall penetration seal,"Supply and install wall penetration seal for heating hot water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0069,hvac,Condenser Water Piping,Condenser Water Piping - carbon steel pipe,"Supply, install, joint, support, test and commission carbon steel pipe for condenser water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Material: Carbon Steel | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0070,hvac,Condenser Water Piping,Condenser Water Piping - stainless steel pipe,"Supply, install, joint, support, test and commission stainless steel pipe for condenser water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Grade: ___ | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0071,hvac,Condenser Water Piping,Condenser Water Piping - copper tube,"Supply, install, joint, support, test and commission copper tube for condenser water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Type: ___ | Size: ___ | Wall Thickness: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0072,hvac,Condenser Water Piping,Condenser Water Piping - PPR pipe,"Supply, install, joint, support, test and commission PPR pipe for condenser water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0073,hvac,Condenser Water Piping,Condenser Water Piping - HDPE pipe,"Supply, install, joint, support, test and commission HDPE pipe for condenser water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0074,hvac,Condenser Water Piping,Condenser Water Piping - pre-insulated pipe,"Supply, install, joint, support, test and commission pre-insulated pipe for condenser water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Carrier Pipe: ___ | Size: ___ | Insulation: ___ | Jacket: ___ | Standard: ___",,LM,,,,,,,
HVAC-0075,hvac,Condenser Water Piping,Condenser Water Piping - elbow 90 degree,"Supply and install elbow 90 degree for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0076,hvac,Condenser Water Piping,Condenser Water Piping - elbow 45 degree,"Supply and install elbow 45 degree for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
