itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-11396,plumbing,Valves and Piping Specialties,Domestic Cold Water - Air Release Valve - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission air release valve for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11407,plumbing,Valves and Piping Specialties,Domestic Cold Water - Balancing Valve - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission balancing valve for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11408,plumbing,Valves and Piping Specialties,Domestic Cold Water - Balancing Valve - 250-400 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission balancing valve for domestic cold water, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11409,plumbing,Valves and Piping Specialties,Domestic Cold Water - Balancing Valve - 32-50 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission balancing valve for domestic cold water, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11410,plumbing,Valves and Piping Specialties,Domestic Cold Water - Balancing Valve - 65-100 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission balancing valve for domestic cold water, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11411,plumbing,Valves and Piping Specialties,Domestic Cold Water - Ball Valve - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission ball valve for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11412,plumbing,Valves and Piping Specialties,Domestic Cold Water - Ball Valve - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission ball valve for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11413,plumbing,Valves and Piping Specialties,Domestic Cold Water - Ball Valve - 32-50 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission ball valve for domestic cold water, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11414,plumbing,Valves and Piping Specialties,Domestic Cold Water - Ball Valve - 65-100 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission ball valve for domestic cold water, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11415,plumbing,Valves and Piping Specialties,Domestic Cold Water - Basket Strainer - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission basket strainer for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11416,plumbing,Valves and Piping Specialties,Domestic Cold Water - Basket Strainer - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission basket strainer for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11417,plumbing,Valves and Piping Specialties,Domestic Cold Water - Basket Strainer - 250-400 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission basket strainer for domestic cold water, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11418,plumbing,Valves and Piping Specialties,Domestic Cold Water - Basket Strainer - 32-50 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission basket strainer for domestic cold water, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11419,plumbing,Valves and Piping Specialties,Domestic Cold Water - Basket Strainer - 65-100 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission basket strainer for domestic cold water, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11420,plumbing,Valves and Piping Specialties,Domestic Cold Water - Butterfly Valve - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission butterfly valve for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11421,plumbing,Valves and Piping Specialties,Domestic Cold Water - Butterfly Valve - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission butterfly valve for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11422,plumbing,Valves and Piping Specialties,Domestic Cold Water - Butterfly Valve - 250-400 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission butterfly valve for domestic cold water, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11423,plumbing,Valves and Piping Specialties,Domestic Cold Water - Butterfly Valve - 32-50 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission butterfly valve for domestic cold water, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11424,plumbing,Valves and Piping Specialties,Domestic Cold Water - Butterfly Valve - 65-100 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission butterfly valve for domestic cold water, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11425,plumbing,Valves and Piping Specialties,Domestic Cold Water - Check Valve - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission check valve for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11426,plumbing,Valves and Piping Specialties,Domestic Cold Water - Check Valve - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission check valve for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11427,plumbing,Valves and Piping Specialties,Domestic Cold Water - Check Valve - 250-400 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission check valve for domestic cold water, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11428,plumbing,Valves and Piping Specialties,Domestic Cold Water - Check Valve - 32-50 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission check valve for domestic cold water, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11429,plumbing,Valves and Piping Specialties,Domestic Cold Water - Check Valve - 65-100 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission check valve for domestic cold water, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11430,plumbing,Valves and Piping Specialties,Domestic Cold Water - Commissioning Valve - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission commissioning valve for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11431,plumbing,Valves and Piping Specialties,Domestic Cold Water - Commissioning Valve - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission commissioning valve for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11432,plumbing,Valves and Piping Specialties,Domestic Cold Water - Commissioning Valve - 250-400 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission commissioning valve for domestic cold water, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11433,plumbing,Valves and Piping Specialties,Domestic Cold Water - Commissioning Valve - 32-50 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission commissioning valve for domestic cold water, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11434,plumbing,Valves and Piping Specialties,Domestic Cold Water - Commissioning Valve - 65-100 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission commissioning valve for domestic cold water, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11435,plumbing,Valves and Piping Specialties,Domestic Cold Water - Double Check Valve - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission double check valve for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11436,plumbing,Valves and Piping Specialties,Domestic Cold Water - Double Check Valve - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission double check valve for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11437,plumbing,Valves and Piping Specialties,Domestic Cold Water - Double Check Valve - 250-400 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission double check valve for domestic cold water, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11438,plumbing,Valves and Piping Specialties,Domestic Cold Water - Double Check Valve - 32-50 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission double check valve for domestic cold water, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11439,plumbing,Valves and Piping Specialties,Domestic Cold Water - Double Check Valve - 65-100 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission double check valve for domestic cold water, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11440,plumbing,Valves and Piping Specialties,Domestic Cold Water - Drain Valve - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission drain valve for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11441,plumbing,Valves and Piping Specialties,Domestic Cold Water - Drain Valve - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission drain valve for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11442,plumbing,Valves and Piping Specialties,Domestic Cold Water - Drain Valve - 250-400 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission drain valve for domestic cold water, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11443,plumbing,Valves and Piping Specialties,Domestic Cold Water - Drain Valve - 32-50 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission drain valve for domestic cold water, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11444,plumbing,Valves and Piping Specialties,Domestic Cold Water - Drain Valve - 65-100 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission drain valve for domestic cold water, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11445,plumbing,Valves and Piping Specialties,Domestic Cold Water - Expansion Compensator - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission expansion compensator for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11446,plumbing,Valves and Piping Specialties,Domestic Cold Water - Expansion Compensator - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission expansion compensator for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
