itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-11312,plumbing,Pool and Fountain Plumbing,Air Blower - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial air blower for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11323,plumbing,Pool and Fountain Plumbing,Chemical Controller - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential chemical controller for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11324,plumbing,Pool and Fountain Plumbing,Chlorine Dosing System - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial chlorine dosing system for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11325,plumbing,Pool and Fountain Plumbing,Chlorine Dosing System - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty chlorine dosing system for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11326,plumbing,Pool and Fountain Plumbing,Chlorine Dosing System - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential chlorine dosing system for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11327,plumbing,Pool and Fountain Plumbing,Foam Jet - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial foam jet for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11328,plumbing,Pool and Fountain Plumbing,Foam Jet - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty foam jet for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11329,plumbing,Pool and Fountain Plumbing,Foam Jet - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential foam jet for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11330,plumbing,Pool and Fountain Plumbing,Fountain Dosing Unit - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial fountain dosing unit for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11331,plumbing,Pool and Fountain Plumbing,Fountain Dosing Unit - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty fountain dosing unit for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11332,plumbing,Pool and Fountain Plumbing,Fountain Dosing Unit - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential fountain dosing unit for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11333,plumbing,Pool and Fountain Plumbing,Fountain Drain - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial fountain drain for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11334,plumbing,Pool and Fountain Plumbing,Fountain Drain - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty fountain drain for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11335,plumbing,Pool and Fountain Plumbing,Fountain Drain - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential fountain drain for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11336,plumbing,Pool and Fountain Plumbing,Fountain Filter - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial fountain filter for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11337,plumbing,Pool and Fountain Plumbing,Fountain Filter - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty fountain filter for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11338,plumbing,Pool and Fountain Plumbing,Fountain Filter - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential fountain filter for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11339,plumbing,Pool and Fountain Plumbing,Fountain Nozzle - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial fountain nozzle for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11340,plumbing,Pool and Fountain Plumbing,Fountain Nozzle - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty fountain nozzle for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11341,plumbing,Pool and Fountain Plumbing,Fountain Nozzle - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential fountain nozzle for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11342,plumbing,Pool and Fountain Plumbing,Fountain Overflow - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial fountain overflow for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11343,plumbing,Pool and Fountain Plumbing,Fountain Overflow - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty fountain overflow for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11344,plumbing,Pool and Fountain Plumbing,Fountain Overflow - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential fountain overflow for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11345,plumbing,Pool and Fountain Plumbing,Heat Exchanger - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial heat exchanger for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11346,plumbing,Pool and Fountain Plumbing,Heat Exchanger - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty heat exchanger for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11347,plumbing,Pool and Fountain Plumbing,Heat Exchanger - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential heat exchanger for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11348,plumbing,Pool and Fountain Plumbing,Hydrotherapy Jet - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial hydrotherapy jet for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11349,plumbing,Pool and Fountain Plumbing,Hydrotherapy Jet - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty hydrotherapy jet for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11350,plumbing,Pool and Fountain Plumbing,Hydrotherapy Jet - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential hydrotherapy jet for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11351,plumbing,Pool and Fountain Plumbing,Laminar Jet - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial laminar jet for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11352,plumbing,Pool and Fountain Plumbing,Laminar Jet - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty laminar jet for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11353,plumbing,Pool and Fountain Plumbing,Laminar Jet - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential laminar jet for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11354,plumbing,Pool and Fountain Plumbing,Lane Rope Anchor - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial lane rope anchor for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11355,plumbing,Pool and Fountain Plumbing,Lane Rope Anchor - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty lane rope anchor for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11356,plumbing,Pool and Fountain Plumbing,Lane Rope Anchor - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential lane rope anchor for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11357,plumbing,Pool and Fountain Plumbing,Main Drain - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial main drain for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11358,plumbing,Pool and Fountain Plumbing,Main Drain - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty main drain for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11359,plumbing,Pool and Fountain Plumbing,Main Drain - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential main drain for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11360,plumbing,Pool and Fountain Plumbing,Overflow Channel - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial overflow channel for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11361,plumbing,Pool and Fountain Plumbing,Overflow Channel - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty overflow channel for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11362,plumbing,Pool and Fountain Plumbing,Overflow Channel - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential overflow channel for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11363,plumbing,Pool and Fountain Plumbing,Pool Cover - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial pool cover for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11364,plumbing,Pool and Fountain Plumbing,Pool Cover - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty pool cover for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
