itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00001,plumbing,Common Plumbing Work Results,As-Built Drawing,"Subcategory: Documentation and Handover | Provide complete as-built drawing for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00012,plumbing,Common Plumbing Work Results,Testing Record,"Subcategory: Documentation and Handover | Provide complete testing record for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00013,plumbing,Common Plumbing Work Results,Training Session,"Subcategory: Documentation and Handover | Provide complete training session for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00014,plumbing,Common Plumbing Work Results,Valve Schedule,"Subcategory: Documentation and Handover | Provide complete valve schedule for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00015,plumbing,Common Plumbing Work Results,Warranty Certificate,"Subcategory: Documentation and Handover | Provide complete warranty certificate for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00016,plumbing,Common Plumbing Work Results,Asset QR Label,"Subcategory: Identification | Provide complete asset qr label for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00017,plumbing,Common Plumbing Work Results,Buried Pipe Marker Tape,"Subcategory: Identification | Provide complete buried pipe marker tape for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00018,plumbing,Common Plumbing Work Results,Equipment Nameplate,"Subcategory: Identification | Provide complete equipment nameplate for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00019,plumbing,Common Plumbing Work Results,Flow Direction Arrow,"Subcategory: Identification | Provide complete flow direction arrow for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00020,plumbing,Common Plumbing Work Results,Pipe Identification Label,"Subcategory: Identification | Provide complete pipe identification label for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00021,plumbing,Common Plumbing Work Results,Tracer Wire,"Subcategory: Identification | Provide complete tracer wire for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00022,plumbing,Common Plumbing Work Results,Valve Tag,"Subcategory: Identification | Provide complete valve tag for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00023,plumbing,Common Plumbing Work Results,Warning Label,"Subcategory: Identification | Provide complete warning label for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00024,plumbing,Common Plumbing Work Results,Acoustic Drainage Pipe Insulation,"Subcategory: Insulation and Jacketing | Provide complete acoustic drainage pipe insulation for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00025,plumbing,Common Plumbing Work Results,Aluminum Jacketing,"Subcategory: Insulation and Jacketing | Provide complete aluminum jacketing for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00026,plumbing,Common Plumbing Work Results,Cold Water Pipe Insulation,"Subcategory: Insulation and Jacketing | Provide complete cold water pipe insulation for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00027,plumbing,Common Plumbing Work Results,Condensate Pipe Insulation,"Subcategory: Insulation and Jacketing | Provide complete condensate pipe insulation for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00028,plumbing,Common Plumbing Work Results,Hot Water Pipe Insulation,"Subcategory: Insulation and Jacketing | Provide complete hot water pipe insulation for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00029,plumbing,Common Plumbing Work Results,Hot Water Return Insulation,"Subcategory: Insulation and Jacketing | Provide complete hot water return insulation for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00030,plumbing,Common Plumbing Work Results,PVC Jacketing,"Subcategory: Insulation and Jacketing | Provide complete pvc jacketing for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00031,plumbing,Common Plumbing Work Results,Removable Valve Insulation Jacket,"Subcategory: Insulation and Jacketing | Provide complete removable valve insulation jacket for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00032,plumbing,Common Plumbing Work Results,Stainless Steel Jacketing,"Subcategory: Insulation and Jacketing | Provide complete stainless steel jacketing for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,LM,,,,,,,
PLUMB-00033,plumbing,Common Plumbing Work Results,Vapor Barrier,"Subcategory: Insulation and Jacketing | Provide complete vapor barrier for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00034,plumbing,Common Plumbing Work Results,Corrosion Isolation Pad,"Subcategory: Pipe Supports and Restraints | Provide complete corrosion isolation pad for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00035,plumbing,Common Plumbing Work Results,Insulated Pipe Support Insert,"Subcategory: Pipe Supports and Restraints | Provide complete insulated pipe support insert for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00036,plumbing,Common Plumbing Work Results,Pipe Anchor,"Subcategory: Pipe Supports and Restraints | Provide complete pipe anchor for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00037,plumbing,Common Plumbing Work Results,Pipe Guide,"Subcategory: Pipe Supports and Restraints | Provide complete pipe guide for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00038,plumbing,Common Plumbing Work Results,Pipe Hanger,"Subcategory: Pipe Supports and Restraints | Provide complete pipe hanger for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00039,plumbing,Common Plumbing Work Results,Riser Clamp,"Subcategory: Pipe Supports and Restraints | Provide complete riser clamp for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00040,plumbing,Common Plumbing Work Results,Roller Support,"Subcategory: Pipe Supports and Restraints | Provide complete roller support for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00041,plumbing,Common Plumbing Work Results,Roof Pipe Support,"Subcategory: Pipe Supports and Restraints | Provide complete roof pipe support for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00042,plumbing,Common Plumbing Work Results,Saddle Support,"Subcategory: Pipe Supports and Restraints | Provide complete saddle support for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00043,plumbing,Common Plumbing Work Results,Seismic Brace,"Subcategory: Pipe Supports and Restraints | Provide complete seismic brace for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00044,plumbing,Common Plumbing Work Results,Trapeze Support,"Subcategory: Pipe Supports and Restraints | Provide complete trapeze support for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00045,plumbing,Common Plumbing Work Results,Vibration Isolation Hanger,"Subcategory: Pipe Supports and Restraints | Provide complete vibration isolation hanger for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 05 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00046,plumbing,Common Plumbing Work Results,Backflow Preventer Test,"Subcategory: Testing and Commissioning | Provide complete backflow preventer test for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 08 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00047,plumbing,Common Plumbing Work Results,CCTV Drain Survey,"Subcategory: Testing and Commissioning | Provide complete cctv drain survey for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 08 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00048,plumbing,Common Plumbing Work Results,Disinfection and Chlorination,"Subcategory: Testing and Commissioning | Provide complete disinfection and chlorination for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 08 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00049,plumbing,Common Plumbing Work Results,Drainage Flow Test,"Subcategory: Testing and Commissioning | Provide complete drainage flow test for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 08 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00050,plumbing,Common Plumbing Work Results,Flushing and Cleaning,"Subcategory: Testing and Commissioning | Provide complete flushing and cleaning for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 08 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00051,plumbing,Common Plumbing Work Results,Hot Water Temperature Balancing,"Subcategory: Testing and Commissioning | Provide complete hot water temperature balancing for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 08 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00052,plumbing,Common Plumbing Work Results,Hydrostatic Pressure Test,"Subcategory: Testing and Commissioning | Provide complete hydrostatic pressure test for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 08 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00053,plumbing,Common Plumbing Work Results,Leak Test,"Subcategory: Testing and Commissioning | Provide complete leak test for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 08 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
PLUMB-00054,plumbing,Common Plumbing Work Results,Medical Gas Cross-Connection Test,"Subcategory: Testing and Commissioning | Provide complete medical gas cross-connection test for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 08 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,no.,,,,,,,
